product_title,product_sku,product_image,product_description
Protest Boys Cali 18 Full Zip Hoody L navy blue,18063710-007,"['http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~2.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~3.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~4.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~5.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~6.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~7.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~8.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~9.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~10.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~11.jpg', 'http://www.kite-team.de/media/image/product/8614/lg/protest-boys-cali-18-full-zip-hoody-l-navy-blue~12.jpg']","
Details:
Hier ist das Cali 18 von Protest, dein Lieblings-Hoodie für die nächste Saison. Der Hoodie ist aus meliertem Baumwollmischgewebe hergestellt, das außen glatt und innen weich wie Fleece ist. Drt Cali 18 mit Kängurutaschen und geripptem Rand am Saum und an den Bündchen ist der perfekte Casual Hoodie. Anziehen und los geht's.  
Material:
65% Polyester, 35% Baumwolle
Größentabelle:
GrößeBrustumfang in cmTaillenumfang in cmHüftumfang in cm46/XS90-9377-8194-9648/S94-9782-8697-9950/M98-10187-91100-10252/L102-10592-96106-10854/XL106-10997-101106-108"
Protest Girls Promo Hoody Noos,18063709,['http://www.kite-team.de/media/image/product/8602/lg/protest-girls-promo-hoody-noos.jpg'],"
Details:
Der Protest Hoodie ist ein Must-Have für jeden Damenkleiderschrank. Das Sweatshirt ist in vielen Farben erhältlich und besticht durch seine einzigartige Qualität sowie seine praktische und stilvolle Kapuze mit Baumwollkordeln. Der sportliche und bequeme Protest Hoodie passt zu allem, sieht gut aus und ist sehr gemütlich. 
Farbe:
Chalked Red
Material:
65% Polyester, 35% Baumwolle
Größentabelle:
GrößeBrustumfang in cmTaillenumfang in cmHüftumfang in cm34/XS81-8466-6892-9436/S85-8869-7195-9738/M89-9272-7498-10040/L93-9675-77101-10342/XL97-10078-80104-106"
Protest Boys Beck Sweatshirt,18063708,"['http://www.kite-team.de/media/image/product/8573/lg/protest-boys-beck-sweatshirt.jpg', 'http://www.kite-team.de/media/image/product/8573/lg/protest-boys-beck-sweatshirt~2.jpg', 'http://www.kite-team.de/media/image/product/8573/lg/protest-boys-beck-sweatshirt~3.jpg', 'http://www.kite-team.de/media/image/product/8573/lg/protest-boys-beck-sweatshirt~4.jpg']","
Details:
Hier ist das Beck von Protest, dein Lieblings-Sweatshirt, wenn die Tage kürzer werden. Das Beck präsentiert sich mit einem Allover-Minimotiv aus Bergen, ist unifarben und an den Bündchen, dem Saum und dem Ausschnitt gerippt. Das Beck von Protest ist das perfekte Casual Sweatshirt für die nächste Saison.
Farbe:
Asphalt
Material:
60% Baumwolle, 40% Polyester
Größentabelle:
GrößeBrustumfang in cmTaillenumfang in cmHüftumfang in cm46/XS90-9377-8194-9648/S94-9782-8697-9950/M98-10187-91100-10252/L102-10592-96106-10854/XL106-10997-101106-108"
Protest Boys Doolittle Hoody,18063706,"['http://www.kite-team.de/media/image/product/8563/lg/protest-boys-doolittle-hoody.jpg', 'http://www.kite-team.de/media/image/product/8563/lg/protest-boys-doolittle-hoody~2.jpg', 'http://www.kite-team.de/media/image/product/8563/lg/protest-boys-doolittle-hoody~3.jpg', 'http://www.kite-team.de/media/image/product/8563/lg/protest-boys-doolittle-hoody~4.jpg']","
Details:
Freu dich auf den Doolittle von Protest, denn du wirst diesen Hoodie lieben. Der Hoodie präsentiert sich mit einem fantastischen Farbblockmuster und ist aus meliertem Baumwollmischgewebe hergestellt. Der Stoff an den Bündchen ist gerippt, und an der Kapuze befindet sich ein Zugband. Der Doolittle im Retro-College-Look ist ein Musthave für die nächste Saison. 
Farbe:
Navy Blue 
Material:
65% Polyester, 35% Baumwolle
Größentabelle:
GrößeBrustumfang in cmTaillenumfang in cmHüftumfang in cm46/XS90-9377-8194-9648/S94-9782-8697-9950/M98-10187-91100-10252/L102-10592-96106-10854/XL106-10997-101106-108"
Protest Boys Ziggy Full Zip Hoody M,18063707-002,"['http://www.kite-team.de/media/image/product/8570/lg/protest-boys-ziggy-full-zip-hoody-m.jpg', 'http://www.kite-team.de/media/image/product/8570/lg/protest-boys-ziggy-full-zip-hoody-m~2.jpg', 'http://www.kite-team.de/media/image/product/8570/lg/protest-boys-ziggy-full-zip-hoody-m~3.jpg', 'http://www.kite-team.de/media/image/product/8570/lg/protest-boys-ziggy-full-zip-hoody-m~4.jpg']","
Details:
Im Ziggy von Protest stehst du im Rampenlicht. Dieser  fantastische Hoodie mit Reißverschluss präsentiert sich im Farbblockdesign und ist aus meliertem Baumwollmischgewebe hergestellt. Weitere Details sind Kängurutaschen und gerippter Stoff am Saum und an den Bündchen. Der Ziggy von Protest kombiniert Wärme mit ansprechendem Style. 
Farbe:
Dark Yellow
Material:
65% Polyester, 35% Baumwolle
Größentabelle:
GrößeBrustumfang in cmTaillenumfang in cmHüftumfang in cm46/XS90-9377-8194-9648/S94-9782-8697-9950/M98-10187-91100-10252/L102-10592-96106-10854/XL106-10997-101106-108"
Protest Girls Pinot Hooded Sweatshirt,18063705,"['http://www.kite-team.de/media/image/product/8554/lg/protest-girls-pinot-hooded-sweatshirt.jpg', 'http://www.kite-team.de/media/image/product/8554/lg/protest-girls-pinot-hooded-sweatshirt~2.jpg', 'http://www.kite-team.de/media/image/product/8554/lg/protest-girls-pinot-hooded-sweatshirt~3.jpg', 'http://www.kite-team.de/media/image/product/8554/lg/protest-girls-pinot-hooded-sweatshirt~4.jpg', 'http://www.kite-team.de/media/image/product/8554/lg/protest-girls-pinot-hooded-sweatshirt~5.jpg', 'http://www.kite-team.de/media/image/product/8554/lg/protest-girls-pinot-hooded-sweatshirt~6.jpg', 'http://www.kite-team.de/media/image/product/8554/lg/protest-girls-pinot-hooded-sweatshirt~7.jpg', 'http://www.kite-team.de/media/image/product/8554/lg/protest-girls-pinot-hooded-sweatshirt~8.jpg']","
Details:
Hier ist das Pinot von Protest. Dieses tolle Hoodie wird in diesem Winter dein Lieblings-Hoodie. Das Hoodie ist aus 100 % French Terry hergestellt und präsentiert sich nach einer Wäsche mit Säure im coolen, ausgewaschenen Look. Das Muster auf der Vorderseite besteht aus vielen unterschiedlichen Elementen. Zu den tollen Designdetails gehören unter anderem ein Hintergrundmotiv, das bis zu den Schultern verläuft, und ein Textmotiv, das Flock- und Pigmentdruck kombiniert. Hol dir das Pinot von Protest, das essenzielle Hoodie für diesen Winter.  
Material:
100% Baumwolle
Größentabelle:
GrößeBrustumfang in cmTaillenumfang in cmHüftumfang in cm34/XS81-8466-6892-9436/S85-8869-7195-9738/M89-9272-7498-10040/L93-9675-77101-10342/XL97-10078-80104-106"
Mystic Girls Ridge Sweat,18062702,"['http://www.kite-team.de/media/image/product/8471/lg/mystic-girls-ridge-sweat.jpg', 'http://www.kite-team.de/media/image/product/8471/lg/mystic-girls-ridge-sweat~2.jpg']","Details:

• Elatische Ärmelbündchen und elastischer Saum
• Muster-Print auf der Vorder- und Rückseite
• ZickZack Naht auf der Rückseite
• Hochwertige 320 g/qm Qualitält
• Material-Mix: 50% Baumwolle, 50% Polyester
• Relaxed Fit
• Farbe: stylisches hellgrau"
Mystic Brand Hood Sweat,18062701,"['http://www.kite-team.de/media/image/product/8436/lg/mystic-brand-hood-sweat.jpg', 'http://www.kite-team.de/media/image/product/8436/lg/mystic-brand-hood-sweat~2.jpg', 'http://www.kite-team.de/media/image/product/8436/lg/mystic-brand-hood-sweat~3.jpg', 'http://www.kite-team.de/media/image/product/8436/lg/mystic-brand-hood-sweat~4.jpg']","Details:

• Mystic Schriftzug auf der Vorderseite
• Kapuze mit Kordelzug
• Hochwertige, schwere 320 g/qm Qualitält
• Material-Mix: 60% Baumwolle, 40% Polyester
• Regular Fit"
Girls Sweat | Hoher Kragen XL,18061408-005,"['http://www.kite-team.de/media/image/product/8429/lg/girls-sweat-hoher-kragen-xl.jpg', 'http://www.kite-team.de/media/image/product/8429/lg/girls-sweat-hoher-kragen-xl~2.jpg', 'http://www.kite-team.de/media/image/product/8429/lg/girls-sweat-hoher-kragen-xl~3.jpg']","

Der Schwerelosigkite Sweat ist mit seinem hohen Kragen und den farbenfrohen Streifen genau das Richige für Mädels, die sich gerne mal den Wind um die Nase wehen lassen!

Der aufgenähte Kiteflicken macht Deinen neuen Sweater von Schwerelosigkite zu einem echten Unikat!"
Girls Sweater | SWLK,17061450,"['http://www.kite-team.de/media/image/product/5480/lg/girls-sweater-swlk.jpg', 'http://www.kite-team.de/media/image/product/5480/lg/girls-sweater-swlk~2.jpg']","

Gesprenkelte, gedeckte Farben, ein schützend hoher Kragen und ein angenehm langer Schnitt - ein Sweater wie gemacht, um sich genüsslich darin einzugraben. Mit den bordeauxfarbenen Bündchen setzt man auch dann Akzente, wenn der Sweater an kühleren Tagen lediglich unter einer Sommerjacke hervorblitzt. 

Der aufgenähte Kiteflicken macht Deinen neuen Sweater von Schwerelosigkite zu einem echten Unikat!"
